model,Hist_run,Hist_grid,Hist_Nat_run,Hist_Nat_grid,Hist_GHG_run,Hist_GHG_grid,Hist_Aer_run,Hist_Aer_grid
CNRM-CM6-1,r1i1p1f2,gr,r1i1p1f2,gr,r1i1p1f2,gr,r1i1p1f2,gr
CNRM-CM6-1,r2i1p1f2,gr,r2i1p1f2,gr,r2i1p1f2,gr,r2i1p1f2,gr
CNRM-CM6-1,r3i1p1f2,gr,r3i1p1f2,gr,r3i1p1f2,gr,r3i1p1f2,gr
CNRM-CM6-1,r4i1p1f2,gr,r4i1p1f2,gr,r4i1p1f2,gr,r4i1p1f2,gr
CNRM-CM6-1,r5i1p1f2,gr,r5i1p1f2,gr,r5i1p1f2,gr,r5i1p1f2,gr
CNRM-CM6-1,r6i1p1f2,gr,r6i1p1f2,gr,r6i1p1f2,gr,r6i1p1f2,gr
CNRM-CM6-1,r7i1p1f2,gr,r7i1p1f2,gr,r7i1p1f2,gr,r7i1p1f2,gr
CNRM-CM6-1,r8i1p1f2,gr,r8i1p1f2,gr,r8i1p1f2,gr,r8i1p1f2,gr
CNRM-CM6-1,r9i1p1f2,gr,r9i1p1f2,gr,r9i1p1f2,gr,r9i1p1f2,gr
CNRM-CM6-1,r10i1p1f2,gr,r10i1p1f2,gr,r10i1p1f2,gr,r10i1p1f2,gr
CanESM5,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn,r1i1p1f1,gn
CanESM5,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn,r2i1p1f1,gn
CanESM5,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn,r3i1p1f1,gn
CanESM5,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn,r4i1p1f1,gn
CanESM5,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn,r5i1p1f1,gn
CanESM5,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn,r6i1p1f1,gn
CanESM5,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn,r7i1p1f1,gn
CanESM5,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn,r8i1p1f1,gn
CanESM5,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn,r9i1p1f1,gn
CanESM5,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn,r10i1p1f1,gn
CanESM5,r11i1p1f1,gn,r11i1p1f1,gn,r11i1p1f1,gn,r11i1p1f1,gn
CanESM5,r12i1p1f1,gn,r12i1p1f1,gn,r12i1p1f1,gn,r12i1p1f1,gn
CanESM5,r13i1p1f1,gn,r13i1p1f1,gn,r13i1p1f1,gn,r13i1p1f1,gn
CanESM5,r14i1p1f1,gn,r14i1p1f1,gn,r14i1p1f1,gn,r14i1p1f1,gn
CanESM5,r15i1p1f1,gn,r15i1p1f1,gn,r15i1p1f1,gn,r15i1p1f1,gn
