Year,Freq,MeanSevEuros
1990,0.0018,1750
1991,0.0001,2150
1992,0.0004,3000
1993,0.0007,3100
1994,0.0014,2700
1995,0.0001,1950
1996,0.0001,2100
1997,0.0002,1850
1998,0.0007,1700
1999,NA,NA
2000,0.0006,2900
2001,0.0006,3300
2002,0.0004,2700
2003,0.0009,3200
2004,0.0006,3700
2005,0.0015,2850
2006,0.0011,3250
2007,0.0012,3500
2008,0.0005,3100
2009,0.0021,3700
2010,0.0009,2400
2011,0.0011,2400
2012,0.0013,3000
2013,0.0036,3250
2014,0.0047,3050
2015,0.0006,3000
2016,0.0017,3850
2017,0.0012,3550
2018,0.0017,4750
2019,0.0021,5000
2020,0.0006,3200
2021,0.0011,4800
2022,0.0073,8830
